item	roi	word	surprisal	retrieval
2	1	वह	0.10484	51.0
2	2	लड़का	0.88503	174.30855296529043
2	3	जिसने	0.05763	51.00000000000003
2	4	किताब	0.58196	51.0
2	5	बहुत	0.13633	51.0
2	6	दिलचस्पी	2.57874	799.7877517456631
2	7	से	0.12449	123.30855296529035
2	8	पढ़ी	0.16913	513.4890444180542
2	9	थी	0.00475	123.30855296529035
2	10	मेरा	0.82127	101.0
2	11	दोस्त	0.88361	51.0
2	12	है	0.93078	145.6171059305807
2	13	।	0.32132	200.05665267703762
4	1	वह	0.10484	51.0
4	2	लड़का	0.88503	174.30855296529043
4	3	जिसने	0.05763	51.00000000000003
4	4	बहुत	0.12019	51.0
4	5	दिलचस्पी	1.71905	395.92912833426476
4	6	से	0.12449	123.30855296529046
4	7	पढ़ी	0.16913	491.9260141593554
4	8	थी	0.00475	123.30855296529035
4	9	किताब	0.66873	291.35583893138164
4	10	मेरा	1.40813	101.0
4	11	दोस्त	0.74425	51.0
4	12	है	0.93078	145.6171059305807
4	13	।	0.32132	200.05665267703762
6	1	वह	0.10484	51.0
6	2	किताब	0.88503	174.30855296529043
6	3	जिसको	0.05763	51.00000000000003
6	4	उस	0.08714	51.0
6	5	लड़के	1.15604	196.6171059305808
6	6	ने	0.15816	123.30855296529046
6	7	बहुत	0.13370	101.0
6	8	दिलचस्पी	2.61947	912.9640572457325
6	9	से	0.12449	145.61710593058092
6	10	पढ़ा	0.16913	535.7826439769149
6	11	था	0.00447	123.30855296529035
6	12	बहुत	0.38840	197.78527964379373
6	13	मोटी	0.37364	215.1786852650116
6	14	है	0.51729	308.717143793644
6	15	।	0.02397	247.07922868292553
8	1	वह	0.10484	51.0
8	2	किताब	0.88503	174.30855296529043
8	3	जिसको	0.05763	51.00000000000003
8	4	बहुत	0.12019	51.0
8	5	दिलचस्पी	1.71905	395.92912833426476
8	6	से	0.12449	123.30855296529046
8	7	पढ़ा	0.16913	491.9260141593554
8	8	था	0.00447	123.30855296529035
8	9	उस	0.66822	101.0
8	10	लड़के	0.67069	466.22435038599156
8	11	ने	0.31225	145.61710593058092
8	12	बहुत	0.70836	299.14719445957144
8	13	मोटी	0.39120	260.8367708352357
8	14	है	0.51729	392.73895559820494
8	15	।	0.02397	286.8008896329975
10	1	वह	0.10484	51.0
10	2	बच्चा	0.88546	174.30855296529043
10	3	जिसने	0.05615	51.00000000000003
10	4	रोटी	0.58196	51.0
10	5	बहुत	0.13633	51.0
10	6	जल्दी	1.60613	174.30855296529046
10	7	से	0.77508	123.30855296529046
10	8	खायी	0.32317	869.9675593470027
10	9	थी	0.00345	123.30855296529035
10	10	मेरा	0.93573	244.57055928758768
10	11	भतीजा	0.73649	353.92614755459044
10	12	है	0.97100	145.6171059305807
10	13	।	0.19198	300.6896972323166
12	1	वह	0.10484	51.0
12	2	बच्चा	0.88546	174.30855296529043
12	3	जिसने	0.05615	51.00000000000003
12	4	बहुत	0.12019	51.0
12	5	जल्दी	1.53771	174.30855296529046
12	6	से	0.79992	123.30855296529046
12	7	खायी	0.25957	666.9031391437949
12	8	थी	0.00345	123.30855296529035
12	9	रोटी	0.48695	244.57055928758768
12	10	मेरा	1.52260	286.28409836972696
12	11	भतीजा	0.76872	408.5300900221798
