item	roi	word	surprisal	retrieval
2	1	वह	0.00071	51.0
2	2	लड़का	0.20139	174.30855296529043
2	3	जिसने	0.00893	51.00000000000003
2	4	किताब	1.16949	196.6171059305808
2	5	बहुत	0.04601	51.0
2	6	दिलचस्पी	0.59214	218.92565889587127
2	7	से	0.01315	123.30855296529046
2	8	पढ़ी	1.23694	682.1097982404541
2	9	थी	0.00221	123.30855296529035
2	10	मेरा	0.19699	244.57055928758768
2	11	दोस्त	0.17546	421.5681967394539
2	12	है।	0.56791	244.21599200755873
4	1	वह	0.00071	51.0
4	2	लड़का	0.20139	174.30855296529043
4	3	जिसने	0.00893	51.00000000000003
4	4	बहुत	0.07137	51.0
4	5	दिलचस्पी	0.87761	196.6171059305808
4	6	से	0.01281	123.30855296529046
4	7	पढ़ी	1.29850	669.5958665535985
4	8	थी	0.00221	123.30855296529035
4	9	किताब	0.12832	291.3558389313814
4	10	मेरा	0.48134	292.8730417452109
4	11	दोस्त	0.17900	506.300951046165
4	12	है।	0.56791	264.271982043339
6	1	वह	0.00071	51.0
6	2	किताब	0.20149	174.30855296529043
6	3	जिसको	0.00893	51.00000000000003
6	4	उस	0.02087	51.0
6	5	लड़के	0.65505	196.6171059305808
6	6	ने	0.01345	123.30855296529046
6	7	बहुत	0.03389	101.0
6	8	दिलचस्पी	0.50497	218.92565889587127
6	9	से	0.01315	145.6171059305808
6	10	पढ़ा	1.55801	929.0068749927816
6	11	था	0.00219	123.30855296529035
6	12	बहुत	0.10175	197.78527964379373
6	13	मोटी	0.17535	215.17868526501115
6	14	है।	0.18531	229.858571896822
8	1	वह	0.00071	51.0
8	2	किताब	0.20149	174.30855296529043
8	3	जिसको	0.00893	51.00000000000003
8	4	बहुत	0.07143	51.0
8	5	दिलचस्पी	0.87817	196.6171059305808
8	6	से	0.01281	123.30855296529046
8	7	पढ़ा	1.29679	669.5958665535985
8	8	था	0.00219	123.30855296529035
8	9	उस	0.20965	244.57055928758768
8	10	लड़के	0.16060	353.92614755459044
8	11	ने	0.16332	145.6171059305807
8	12	बहुत	0.56888	400.37939446463315
8	13	मोटी	0.23319	266.5730541959656
8	14	है।	0.18848	277.3266459126635
10	1	वह	0.00071	51.0
10	2	बच्चा	0.20119	174.30855296529043
10	3	जिसने	0.00895	51.00000000000003
10	4	रोटी	1.17027	196.6171059305808
10	5	बहुत	0.04599	51.0
10	6	जल्दी	0.85671	51.0
10	7	से	0.69244	51.0
10	8	खायी	1.24917	920.6942901181019
10	9	थी	0.00320	123.30855296529035
10	10	मेरा	0.21364	244.57055928758768
10	11	भतीजा	0.22636	353.92614755459044
