item	roi	word	surprisal	retrieval
2	1	वह	0.00070	51.0
2	2	लड़का	0.19402	174.30855296529043
2	3	जिसने	0.00976	51.00000000000003
2	4	किताब	1.09296	196.6171059305808
2	5	बहुत	0.05088	51.0
2	6	दिलचस्पी	0.56120	218.92565889587127
2	7	से	0.01575	123.30855296529046
2	8	पढ़ी	1.30563	682.1097982404541
2	9	थी	0.00269	123.30855296529035
2	10	मेरा	0.21025	244.57055928758768
2	11	दोस्त	0.18639	421.5681967394539
2	12	है	0.47937	145.6171059305807
2	13	।	0.49777	303.9470971053752
4	1	वह	0.00070	51.0
4	2	लड़का	0.19402	174.30855296529043
4	3	जिसने	0.00976	51.00000000000003
4	4	बहुत	0.08190	51.0
4	5	दिलचस्पी	0.86012	196.6171059305808
4	6	से	0.01525	123.30855296529046
4	7	पढ़ी	1.36873	669.5958665535985
4	8	थी	0.00269	123.30855296529035
4	9	किताब	0.14262	291.3558389313814
4	10	मेरा	0.48022	292.8730417452109
4	11	दोस्त	0.18894	506.300951046165
4	12	है	0.47937	145.6171059305807
4	13	।	0.49777	322.4060358981251
6	1	वह	0.00070	51.0
6	2	किताब	0.19412	174.30855296529043
6	3	जिसको	0.00976	51.00000000000003
6	4	उस	0.02457	51.0
6	5	लड़के	0.64512	196.6171059305808
6	6	ने	0.01598	123.30855296529046
6	7	बहुत	0.03628	101.0
6	8	दिलचस्पी	0.46692	218.92565889587127
6	9	से	0.01575	145.6171059305808
6	10	पढ़ा	1.60908	929.0068749927816
6	11	था	0.00266	123.30855296529035
6	12	बहुत	0.11195	197.78527964379373
6	13	मोटी	0.18821	215.17868526501115
6	14	है	0.60787	308.717143793644
6	15	।	0.09693	247.07922868292553
8	1	वह	0.00070	51.0
8	2	किताब	0.19412	174.30855296529043
8	3	जिसको	0.00976	51.00000000000003
8	4	बहुत	0.08197	51.0
8	5	दिलचस्पी	0.86067	196.6171059305808
8	6	से	0.01525	123.30855296529046
8	7	पढ़ा	1.36740	669.5958665535985
8	8	था	0.00266	123.30855296529035
8	9	उस	0.22292	244.57055928758768
8	10	लड़के	0.17289	353.92614755459044
8	11	ने	0.17282	145.6171059305807
8	12	बहुत	0.57032	300.6896972323166
8	13	मोटी	0.23681	262.2849151185146
8	14	है	0.60787	395.48949380375825
8	15	।	0.09693	288.1242851889965
10	1	वह	0.00070	51.0
10	2	बच्चा	0.19371	174.30855296529043
10	3	जिसने	0.00977	51.00000000000003
10	4	रोटी	1.09351	196.6171059305808
10	5	बहुत	0.05088	51.0
10	6	जल्दी	0.93327	51.0
10	7	से	0.70335	51.0
10	8	खायी	1.28809	920.6942901181019
10	9	थी	0.00387	123.30855296529035
10	10	मेरा	0.23115	244.57055928758768
10	11	भतीजा	0.24188	353.92614755459044
10	12	है	0.47939	145.6171059305807
10	13	।	0.52911	300.6896972323166
12	1	वह	0.00070	51.0
12	2	बच्चा	0.19371	174.30855296529043
12	3	जिसने	0.00977	51.00000000000003
12	4	बहुत	0.08190	51.0
12	5	जल्दी	0.68629	51.0
12	6	से	0.70335	51.0
12	7	खायी	1.32244	910.8207512500302
12	8	थी	0.00387	123.30855296529035
12	9	रोटी	0.19797	244.57055928758768
12	10	मेरा	0.50113	286.28409836972696
12	11	भतीजा	0.24444	408.5300900221798
12	12	है	0.47939	145.6171059305807
12	13	।	0.52911	316.1716619159506
14	1	वह	0.00070	51.0
14	2	रोटी	0.19421	174.30855296529043
14	3	जिसको	0.00976	51.00000000000003
14	4	उस	0.02457	51.0
14	5	बच्चे	0.64833	196.6171059305808
14	6	ने	0.01597	123.30855296529046
14	7	बहुत	0.03639	101.0
14	8	जल्दी	0.55739	51.0
14	9	से	0.70335	51.0
14	10	खाया	1.47676	1161.7183570016923
