item	roi	word	surprisal	retrieval,surprisal
2	1	वह	0.00071	51.0,0.10484
2	2	लड़का	0.20139	174.30855296529043,0.88503
2	3	जिसने	0.00893	51.00000000000003,0.05763
2	4	किताब	1.16949	196.6171059305808,0.58196
2	5	बहुत	0.04601	51.0,0.13633
2	6	दिलचस्पी	0.59214	218.92565889587127,2.57874
2	7	से	0.01315	123.30855296529046,0.12449
2	8	पढ़ी	1.23694	682.1097982404541,0.16913
2	9	थी	0.00221	123.30855296529035,0.00475
2	10	मेरा	0.19699	244.57055928758768,0.82127
2	11	दोस्त	0.17546	421.5681967394539,0.88361
2	12	है।	0.56791	244.21599200755873,0.72276
4	1	वह	0.00071	51.0,0.10484
4	2	लड़का	0.20139	174.30855296529043,0.88503
4	3	जिसने	0.00893	51.00000000000003,0.05763
4	4	बहुत	0.07137	51.0,0.12019
4	5	दिलचस्पी	0.87761	196.6171059305808,1.71905
4	6	से	0.01281	123.30855296529046,0.12449
4	7	पढ़ी	1.29850	669.5958665535985,0.16913
4	8	थी	0.00221	123.30855296529035,0.00475
4	9	किताब	0.12832	291.3558389313814,0.66873
4	10	मेरा	0.48134	292.8730417452109,1.40813
4	11	दोस्त	0.17900	506.300951046165,0.74425
4	12	है।	0.56791	264.271982043339,0.72276
6	1	वह	0.00071	51.0,0.10484
6	2	किताब	0.20149	174.30855296529043,0.88503
6	3	जिसको	0.00893	51.00000000000003,0.05763
6	4	उस	0.02087	51.0,0.08714
6	5	लड़के	0.65505	196.6171059305808,1.15604
6	6	ने	0.01345	123.30855296529046,0.15816
6	7	बहुत	0.03389	101.0,0.1337
6	8	दिलचस्पी	0.50497	218.92565889587127,2.61947
6	9	से	0.01315	145.6171059305808,0.12449
6	10	पढ़ा	1.55801	929.0068749927816,0.16913
6	11	था	0.00219	123.30855296529035,0.00447
6	12	बहुत	0.10175	197.78527964379373,0.3884
6	13	मोटी	0.17535	215.17868526501115,0.37364
6	14	है।	0.18531	229.858571896822,0.14586
8	1	वह	0.00071	51.0,0.10484
8	2	किताब	0.20149	174.30855296529043,0.88503
8	3	जिसको	0.00893	51.00000000000003,0.05763
8	4	बहुत	0.07143	51.0,0.12019
8	5	दिलचस्पी	0.87817	196.6171059305808,1.71905
8	6	से	0.01281	123.30855296529046,0.12449
8	7	पढ़ा	1.29679	669.5958665535985,0.16913
8	8	था	0.00219	123.30855296529035,0.00447
8	9	उस	0.20965	244.57055928758768,0.66822
8	10	लड़के	0.16060	353.92614755459044,0.67069
8	11	ने	0.16332	145.6171059305807,0.31225
8	12	बहुत	0.56888	400.37939446463315,1.3856
8	13	मोटी	0.23319	266.5730541959656,0.6377
8	14	है।	0.18848	277.3266459126635,0.15104
10	1	वह	0.00071	51.0,0.10484
10	2	बच्चा	0.20119	174.30855296529043,0.88546
10	3	जिसने	0.00895	51.00000000000003,0.05615
10	4	रोटी	1.17027	196.6171059305808,0.58196
10	5	बहुत	0.04599	51.0,0.13633
10	6	जल्दी	0.85671	51.0,1.60613
10	7	से	0.69244	51.0,0.77508
10	8	खायी	1.24917	920.6942901181019,0.32317
10	9	थी	0.00320	123.30855296529035,0.00345
10	10	मेरा	0.21364	244.57055928758768,0.93573
10	11	भतीजा	0.22636	353.92614755459044,0.73649
10	12	है।	0.59136	240.60553608901955,0.22633
12	1	वह	0.00071	51.0,0.10484
12	2	बच्चा	0.20119	174.30855296529043,0.88546
12	3	जिसने	0.00895	51.00000000000003,0.05615
12	4	बहुत	0.07137	51.0,0.12019
12	5	जल्दी	0.64123	51.0,1.53771
12	6	से	0.69244	51.0,0.79992
12	7	खायी	1.28106	910.8207512500302,0.25957
12	8	थी	0.00320	123.30855296529035,0.00345
12	9	रोटी	0.17907	244.57055928758768,0.48695
12	10	मेरा	0.49800	286.28409836972696,1.5226
12	11	भतीजा	0.22990	408.5300900221798,0.76872
12	12	है।	0.59136	257.56278934042484,0.22633
14	1	वह	0.00071	51.0,0.10484
14	2	रोटी	0.20158	174.30855296529043,0.88503
14	3	जिसको	0.00893	51.00000000000003,0.05763
14	4	उस	0.02087	51.0,0.08714
14	5	बच्चे	0.65814	196.6171059305808,1.18201
14	6	ने	0.01344	123.30855296529046,0.15782
14	7	बहुत	0.03403	101.0,0.1296
14	8	जल्दी	0.50204	51.0,1.568
14	9	से	0.69244	51.0,0.77508
14	10	खाया	1.44853	1161.7183570016923,0.31709
14	11	था	0.00317	123.30855296529035,0.00324
14	12	दो	0.18429	197.78527964379373,0.45852
14	13	दिन	0.21286	343.5360557950344,0.59341
14	14	पुरानी	0.58901	237.43621723153638,0.53282
14	15	है।	0.17392	249.93525798540577,0.13237
16	1	वह	0.00071	51.0,0.10484
16	2	रोटी	0.20158	174.30855296529043,0.88503
16	3	जिसको	0.00893	51.00000000000003,0.05763
16	4	बहुत	0.07143	51.0,0.12019
16	5	जल्दी	0.64123	51.0,1.53771
16	6	से	0.69244	51.0,0.79992
16	7	खाया	1.28116	910.8207512500302,0.25817
16	8	था	0.00317	123.30855296529035,0.00324
16	9	उस	0.22087	244.57055928758768,0.90671
16	10	बच्चे	0.21117	286.28409836972696,0.50922
16	11	ने	0.16322	123.30855296529057,0.30865
16	12	दो	0.60649	296.1854709795084,0.78991
16	13	दिन	0.26223	472.19083648435617,0.60803
16	14	पुरानी	0.58901	277.76900469345037,0.53282
16	15	है।	0.17392	288.04351213643304,0.13237
18	1	वह	0.00071	51.0,0.10484
18	2	आदमी	0.20192	174.30855296529043,0.89087
18	3	जिसने	0.00896	51.00000000000003,0.05765
18	4	सब्जीयाँ	1.17086	196.6171059305808,0.58196
18	5	धीरे-धीरे	0.09735	51.0,0.46413
18	6	चुनी	0.95149	551.0316642945904,0.29432
18	7	थीं	0.00346	123.30855296529035,0.00424
18	8	मेरे	0.22392	244.57055928758768,0.92002
18	9	मुहल्ले	0.23578	353.92614755459044,0.86735
18	10	में	0.14898	123.30855296529035,0.11021
18	11	रहता	0.71417	398.1835992545366,0.15136
18	12	है।	0.79093	265.5338854803754,0.50439
20	1	वह	0.00071	51.0,0.10484
20	2	आदमी	0.20192	174.30855296529043,0.89087
20	3	जिसने	0.00896	51.00000000000003,0.05765
20	4	धीरे-धीरे	0.14371	51.0,0.41509
20	5	चुनी	0.99632	537.5364587679538,0.23347
20	6	थीं	0.00346	123.30855296529046,0.00424
20	7	सब्जीयाँ	0.18865	244.5705592875878,0.59073
20	8	मेरे	0.50795	286.28409836972696,1.50579
20	9	मुहल्ले	0.23931	408.5300900221798,0.73001
20	10	में	0.14898	123.30855296529035,0.11021
20	11	रहता	0.71417	429.44534513055487,0.15655
20	12	है।	0.79093	280.4200421517917,0.50439
22	1	वह	0.00071	51.0,0.10484
22	2	सब्जीयाँ	0.20154	174.30855296529043,0.88503
22	3	जिनको	0.00893	51.00000000000003,0.05763
22	4	उस	0.02087	51.0,0.08714
22	5	आदमी	0.65378	196.6171059305808,1.16663
22	6	ने	0.01345	123.30855296529046,0.15734
22	7	धीरे-धीरे	0.07217	101.0,0.43695
22	8	चुना	1.17949	779.8074791568455,0.28574
22	9	था	0.00335	123.30855296529035,0.00396
22	10	बहुत	0.14205	197.78527964379396,0.34041
22	11	महंगी	0.21797	215.1786852650116,0.3338
22	12	हैं।	0.42345	308.717143793644,0.33063
24	1	वह	0.00071	51.0,0.10484
24	2	सब्जीयाँ	0.20154	174.30855296529043,0.88503
24	3	जिनको	0.00893	51.00000000000003,0.05763
24	4	धीरे-धीरे	0.14385	51.0,0.41509
24	5	चुना	0.99341	537.5364587679538,0.23303
24	6	था	0.00335	123.30855296529046,0.00396
24	7	उस	0.23124	244.5705592875878,0.75622
24	8	आदमी	0.22103	286.28409836972696,0.59979
24	9	ने	0.16311	123.30855296529035,0.3109
24	10	बहुत	0.62796	296.1854709795084,0.66154
24	11	महंगी	0.27065	258.06361216145183,0.35136
24	12	हैं।	0.42345	387.4814603019704,0.33063
26	1	वह	0.00071	51.0,0.10484
26	2	बच्ची	0.20169	174.30855296529043,0.88503
26	3	जिसने	0.00892	51.00000000000003,0.05763
26	4	मिठाई	0.07692	51.0,0.40182
26	5	आराम	0.92618	196.6171059305808,2.28668
26	6	से	0.01338	123.30855296529046,0.12512
26	7	खायी	1.28637	669.5958665535985,0.1672
26	8	थी	0.00221	123.30855296529035,0.00469
26	9	मेरी	0.19706	244.57055928758768,0.8395
26	10	बहन	0.17539	353.92614755459044,0.86528
26	11	है।	0.56828	240.60553608901955,0.72143
28	1	वह	0.00071	51.0,0.10484
28	2	बच्ची	0.20169	174.30855296529043,0.88503
28	3	जिसने	0.00892	51.00000000000003,0.05763
28	4	आराम	1.17045	196.6171059305808,0.58794
28	5	से	0.01315	123.30855296529046,0.1229
28	6	खायी	1.01659	477.54969187468475,0.22487
