Sent,Tags,Item_Id,Condition,surprisal_NC,surprisal_DC
वह,NP1,1,a,0.00071,0.10484
लड़का,NP1,1,a,0.20139,0.88503
जिसने,RCPn,1,a,0.00893,0.05763
किताब,RCObj,1,a,1.16949,0.58196
बहुत,PreRCVerb,1,a,0.04601,0.13633
दिलचस्पी,PreRCVerb,1,a,0.59214,2.57874
से,PreRCVerb,1,a,0.01315,0.12449
पढ़ी,RCVerb,1,a,1.23694,0.16913
थी,RCVerb,1,a,0.00221,0.00475
मेरा,PreMainVerb,1,a,0.19699,0.82127
दोस्त,PreMainVerb,1,a,0.17546,0.88361
है।,MainVerb,1,a,0.56791,0.72276
वह,NP1,1,b,0.00071,0.10484
लड़का,NP1,1,b,0.20139,0.88503
जिसने,RCPn,1,b,0.00893,0.05763
बहुत,PreRCVerb,1,b,0.07137,0.12019
दिलचस्पी,PreRCVerb,1,b,0.87761,1.71905
से,PreRCVerb,1,b,0.01281,0.12449
पढ़ी,RCVerb,1,b,1.2985,0.16913
थी,RCVerb,1,b,0.00221,0.00475
किताब,RCObj,1,b,0.12832,0.66873
मेरा,PreMainVerb,1,b,0.48134,1.40813
दोस्त,PreMainVerb,1,b,0.179,0.74425
है।,MainVerb,1,b,0.56791,0.72276
वह,NP1,1,c,0.00071,0.10484
किताब,NP1,1,c,0.20149,0.88503
जिसको,RCPn,1,c,0.00893,0.05763
उस,RCSubj,1,c,0.02087,0.08714
लड़के,RCSubj,1,c,0.65505,1.15604
ने,RCSubj,1,c,0.01345,0.15816
बहुत,PreRCVerb,1,c,0.03389,0.1337
दिलचस्पी,PreRCVerb,1,c,0.50497,2.61947
से,PreRCVerb,1,c,0.01315,0.12449
पढ़ा,RCVerb,1,c,1.55801,0.16913
था,RCVerb,1,c,0.00219,0.00447
बहुत,PreMainVerb,1,c,0.10175,0.3884
मोटी,PreMainVerb,1,c,0.17535,0.37364
है।,MainVerb,1,c,0.18531,0.14586
वह,NP1,1,d,0.00071,0.10484
किताब,NP1,1,d,0.20149,0.88503
जिसको,RCPn,1,d,0.00893,0.05763
बहुत,PreRCVerb,1,d,0.07143,0.12019
दिलचस्पी,PreRCVerb,1,d,0.87817,1.71905
से,PreRCVerb,1,d,0.01281,0.12449
पढ़ा,RCVerb,1,d,1.29679,0.16913
था,RCVerb,1,d,0.00219,0.00447
उस,RCSubj,1,d,0.20965,0.66822
लड़के,RCSubj,1,d,0.1606,0.67069
ने,RCSubj,1,d,0.16332,0.31225
बहुत,PreMainVerb,1,d,0.56888,1.3856
मोटी,PreMainVerb,1,d,0.23319,0.6377
है।,MainVerb,1,d,0.18848,0.15104
वह,NP1,2,a,0.00071,0.10484
बच्चा,NP1,2,a,0.20119,0.88546
जिसने,RCPn,2,a,0.00895,0.05615
रोटी,RCObj,2,a,1.17027,0.58196
बहुत,PreRCVerb,2,a,0.04599,0.13633
जल्दी,PreRCVerb,2,a,0.85671,1.60613
से,PreRCVerb,2,a,0.69244,0.77508
खायी,RCVerb,2,a,1.24917,0.32317
थी,RCVerb,2,a,0.0032,0.00345
मेरा,PreMainVerb,2,a,0.21364,0.93573
भतीजा,PreMainVerb,2,a,0.22636,0.73649
है।,MainVerb,2,a,0.59136,0.22633
वह,NP1,2,b,0.00071,0.10484
बच्चा,NP1,2,b,0.20119,0.88546
जिसने,RCPn,2,b,0.00895,0.05615
बहुत,PreRCVerb,2,b,0.07137,0.12019
जल्दी,PreRCVerb,2,b,0.64123,1.53771
से,PreRCVerb,2,b,0.69244,0.79992
खायी,RCVerb,2,b,1.28106,0.25957
थी,RCVerb,2,b,0.0032,0.00345
रोटी,RCObj,2,b,0.17907,0.48695
मेरा,PreMainVerb,2,b,0.498,1.5226
भतीजा,PreMainVerb,2,b,0.2299,0.76872
है।,MainVerb,2,b,0.59136,0.22633
वह,NP1,2,c,0.00071,0.10484
रोटी,NP1,2,c,0.20158,0.88503
जिसको,RCPn,2,c,0.00893,0.05763
उस,RCSubj,2,c,0.02087,0.08714
बच्चे,RCSubj,2,c,0.65814,1.18201
ने,RCSubj,2,c,0.01344,0.15782
बहुत,PreRCVerb,2,c,0.03403,0.1296
जल्दी,PreRCVerb,2,c,0.50204,1.568
से,PreRCVerb,2,c,0.69244,0.77508
खाया,RCVerb,2,c,1.44853,0.31709
था,RCVerb,2,c,0.00317,0.00324
दो,PreMainVerb,2,c,0.18429,0.45852
दिन,PreMainVerb,2,c,0.21286,0.59341
पुरानी,PreMainVerb,2,c,0.58901,0.53282
है।,MainVerb,2,c,0.17392,0.13237
वह,NP1,2,d,0.00071,0.10484
रोटी,NP1,2,d,0.20158,0.88503
जिसको,RCPn,2,d,0.00893,0.05763
बहुत,PreRCVerb,2,d,0.07143,0.12019
जल्दी,PreRCVerb,2,d,0.64123,1.53771
से,PreRCVerb,2,d,0.69244,0.79992
खाया,RCVerb,2,d,1.28116,0.25817
था,RCVerb,2,d,0.00317,0.00324
उस,RCSubj,2,d,0.22087,0.90671
बच्चे,RCSubj,2,d,0.21117,0.50922
ने,RCSubj,2,d,0.16322,0.30865
