words,Type,surp_UD,surp_HD,item_id,cond
वह,NP1,0.0007,0.10484,1,a
लड़का,NP1,0.19402,0.88503,1,a
जिसने,,0.00976,0.05763,1,a
किताब,,1.09296,0.58196,1,a
बहुत,,0.05088,0.13633,1,a
दिलचस्पी,,0.5612,2.57874,1,a
से,,0.01575,0.12449,1,a
पढ़ी,,1.30563,0.16913,1,a
थी,,0.00269,0.00475,1,a
मेरा,,0.21025,0.82127,1,a
दोस्त,,0.18639,0.88361,1,a
है,,0.47937,0.93078,1,a
।,,0.49777,0.32132,1,a
वह,NP1,0.0007,0.10484,1,b
लड़का,NP1,0.19402,0.88503,1,b
जिसने,,0.00976,0.05763,1,b
बहुत,,0.0819,0.12019,1,b
दिलचस्पी,,0.86012,1.71905,1,b
से,,0.01525,0.12449,1,b
पढ़ी,,1.36873,0.16913,1,b
थी,,0.00269,0.00475,1,b
किताब,,0.14262,0.66873,1,b
मेरा,,0.48022,1.40813,1,b
दोस्त,,0.18894,0.74425,1,b
है,,0.47937,0.93078,1,b
।,,0.49777,0.32132,1,b
वह,NP1,0.0007,0.10484,1,c 
किताब,NP1,0.19412,0.88503,1,c 
जिसको,,0.00976,0.05763,1,c 
उस,,0.02457,0.08714,1,c 
लड़के,,0.64512,1.15604,1,c 
ने,,0.01598,0.15816,1,c 
बहुत,,0.03628,0.1337,1,c 
दिलचस्पी,,0.46692,2.61947,1,c 
से,,0.01575,0.12449,1,c 
पढ़ा,,1.60908,0.16913,1,c 
था,,0.00266,0.00447,1,c 
बहुत,,0.11195,0.3884,1,c 
मोटी,,0.18821,0.37364,1,c 
है,,0.60787,0.51729,1,c 
।,,0.09693,0.02397,1,c 
वह,NP1,0.0007,0.10484,1,d
किताब,NP1,0.19412,0.88503,1,d
जिसको,,0.00976,0.05763,1,d
बहुत,,0.08197,0.12019,1,d
दिलचस्पी,,0.86067,1.71905,1,d
से,,0.01525,0.12449,1,d
पढ़ा,,1.3674,0.16913,1,d
था,,0.00266,0.00447,1,d
उस,,0.22292,0.66822,1,d
लड़के,,0.17289,0.67069,1,d
ने,,0.17282,0.31225,1,d
बहुत,,0.57032,0.70836,1,d
मोटी,,0.23681,0.3912,1,d
है,,0.60787,0.51729,1,d
।,,0.09693,0.02397,1,d
वह,,0.0007,0.10484,2,a
बच्चा,,0.19371,0.88546,2,a
जिसने,,0.00977,0.05615,2,a
रोटी,,1.09351,0.58196,2,a
बहुत,,0.05088,0.13633,2,a
जल्दी,,0.93327,1.60613,2,a
से,,0.70335,0.77508,2,a
खायी,,1.28809,0.32317,2,a
थी,,0.00387,0.00345,2,a
मेरा,,0.23115,0.93573,2,a
भतीजा,,0.24188,0.73649,2,a
है,,0.47939,0.971,2,a
।,,0.52911,0.19198,2,a
वह,,0.0007,0.10484,2,b
बच्चा,,0.19371,0.88546,2,b
जिसने,,0.00977,0.05615,2,b
बहुत,,0.0819,0.12019,2,b
जल्दी,,0.68629,1.53771,2,b
से,,0.70335,0.79992,2,b
खायी,,1.32244,0.25957,2,b
थी,,0.00387,0.00345,2,b
रोटी,,0.19797,0.48695,2,b
मेरा,,0.50113,1.5226,2,b
भतीजा,,0.24444,0.76872,2,b
है,,0.47939,0.971,2,b
।,,0.52911,0.19198,2,b
वह,,0.0007,0.10484,2,c
रोटी,,0.19421,0.88503,2,c
जिसको,,0.00976,0.05763,2,c
उस,,0.02457,0.08714,2,c
बच्चे,,0.64833,1.18201,2,c
ने,,0.01597,0.15782,2,c
बहुत,,0.03639,0.1296,2,c
जल्दी,,0.55739,1.568,2,c
से,,0.70335,0.77508,2,c
खाया,,1.47676,0.31709,2,c
था,,0.00383,0.00324,2,c
दो,,0.20119,0.45852,2,c
दिन,,0.22968,0.59341,2,c
पुरानी,,0.58552,0.53282,2,c
है,,0.46644,0.4764,2,c
।,,0.12835,0.02219,2,c
वह,,0.0007,0.10484,2,d
रोटी,,0.19421,0.88503,2,d
जिसको,,0.00976,0.05763,2,d
बहुत,,0.08197,0.12019,2,d
जल्दी,,0.68629,1.53771,2,d
से,,0.70335,0.79992,2,d
खाया,,1.32237,0.25817,2,d
था,,0.00383,0.00324,2,d
उस,,0.23851,0.90671,2,d
बच्चे,,0.228,0.50922,2,d
ने,,0.17273,0.30865,2,d
दो,,0.60213,0.78991,2,d
दिन,,0.27529,0.60803,2,d
पुरानी,,0.58552,0.53282,2,d
है,,0.46644,0.4764,2,d
।,,0.12835,0.02219,2,d
वह,,0.0007,0.10484,3,a
आदमी,,0.19437,0.89087,3,a
जिसने,,0.00979,0.05765,3,a
सब्जीयाँ,,1.09404,0.58196,3,a
धीरे-धीरे,,0.10679,0.46413,3,a
चुनी,,1.01248,0.29432,3,a
थीं,,0.00418,0.00424,3,a
मेरे,,0.24219,0.92002,3,a
मुहल्ले,,0.25205,0.86735,3,a
में,,0.15798,0.11021,3,a
रहता,,0.70388,0.15136,3,a
है,,0.06909,0.15692,3,a
।,,0.67616,0.42122,3,a
वह,,0.0007,0.10484,3,b
आदमी,,0.19437,0.89087,3,b
जिसने,,0.00979,0.05765,3,b
धीरे-धीरे,,0.16419,0.41509,3,b
चुनी,,1.05932,0.23347,3,b
थीं,,0.00418,0.00424,3,b
सब्जीयाँ,,0.20829,0.59073,3,b
मेरे,,0.51189,1.50579,3,b
मुहल्ले,,0.25461,0.73001,3,b
में,,0.15798,0.11021,3,b
रहता,,0.70388,0.15655,3,b
