item	roi	word	surprisal	retrieval
9	1	ओए	-0.00000	101.0
9	2	तुम	0.63715	224.30855296529046
9	3	सुन	0.10571	197.78527964379387
9	4	रहे	0.16487	123.30855296529046
9	5	थे	0.18310	244.5705592875878
9	6	ना	1.07296	291.5355119545238
9	7	।	0.24702	253.73094253470708
16	1	हाँ	-0.00000	101.0
16	2	सुन	0.04517	224.30855296529046
16	3	रहा	0.06162	123.30855296529046
16	4	था	0.07839	244.57055928758774
16	5	।	0.31773	280.16209745749734
23	1	अब	-0.00000	101.0
23	2	क्या	0.33121	224.30855296529046
23	3	अपना	0.41035	145.6171059305808
23	4	सब	0.51949	200.05665267703773
23	5	रिकॉर्ड	0.42601	174.30855296529046
23	6	हो	0.22799	910.8207512500303
23	7	के	0.00296	123.30855296529035
23	8	हर	0.23639	197.78527964379373
23	9	जगह	0.59452	286.67690642031516
23	10	जाएगा	0.26155	308.717143793644
23	11	क्या	1.06336	343.15845736585084
23	12	[laughter]	0.34967	263.1599281631866
23	13	।	0.10258	274.07653678609586
30	1	ठीक	-0.00000	101.0
30	2	है	0.19530	224.30855296529046
30	3	।	0.12764	197.78527964379387
37	1	सीएनएन	-0.00000	101.0
37	2	न्यूज़	0.74532	145.61710593058083
37	3	में	0.49909	123.30855296529043
37	4	आ	0.12048	464.0399441261915
37	5	जाएँगे	0.11120	123.30855296529046
37	6	हम	1.11868	197.78527964379384
37	7	लोग	0.66698	286.6769064203153
37	8	।	0.21603	229.858571896822
44	1	[laughter]	-0.00000	101.0
44	2	यश	0.60639	145.61710593058083
44	3	के	0.45613	123.30855296529043
44	4	बारे	0.66493	244.57055928758777
44	5	में	0.52471	353.9261475545906
44	6	बात	0.87285	300.68969723231646
44	7	करो	0.21892	635.2944037300625
44	8	।	0.22724	273.2447469018791
51	1	हाँ	-0.00000	101.0
51	2	।	0.19159	123.30855296529043
58	1	[laughter]	-0.00000	101.0
58	2	पब्लिक	0.53662	123.30855296529043
58	3	इन्फ़र्मेशन	0.71720	197.78527964379387
58	4	बनेगा	0.22919	537.5364587679538
58	5	।	0.30866	229.858571896822
65	1	सो_आइ_गेस_दैट_दैट्स_बैड_न्यूज़	-0.00000	101.0
65	2	।	0.19855	123.30855296529043
72	1	हाँ	-0.00000	101.0
72	2	सीएनएन	0.56655	123.30855296529043
72	3	में	0.28974	123.30855296529043
72	4	[anonymized]	0.18727	464.0399441261915
72	5	।	0.46603	228.21006664275706
79	1	[anonymized]_टॉकिंग_अबाउट_क्यूट_चिक्स	-0.00000	101.0
79	2	।	0.19284	123.30855296529043
86	1	[laughter]	-0.00000	101.0
86	2	।	0.19397	123.30855296529043
93	1	नो	-0.00000	101.0
93	2	।	0.19606	123.30855296529043
100	1	तो	-0.00000	101.0
100	2	एनीवे	0.25080	224.30855296529046
100	3	।	0.31552	271.1980044095982
107	1	हाँ	-0.00000	101.0
107	2	तो_ये_इस_वक्त	0.24897	123.30855296529043
107	3	आइ_मीन	0.25204	197.78527964379387
107	4	अ	0.36306	279.35737053002276
107	5	ये	0.56565	278.6388258464523
107	6	यश	0.35749	342.0579735299982
107	7	कहीं	0.73070	262.64085184319356
107	8	इंडी	0.70189	396.1660574995526
107	9	यूएसए	0.94330	563.3498905317524
107	10	आ	0.28633	471.52740766063357
107	11	रहा	0.14379	123.30855296529035
107	12	है	0.12174	244.5705592875879
107	13	कि	0.75968	101.0
107	14	नहीं	0.23185	51.0
107	15	आ	0.17093	634.9973685783543
107	16	रहा	0.17396	167.9256588958715
107	17	है	0.14686	355.90965628405274
107	18	।	0.96264	462.52877235258256
114	1	हाँ	-0.00000	101.0
114	2	।	0.19159	123.30855296529043
121	1	हाँ	-0.00000	101.0
121	2	आ	0.04136	224.30855296529046
121	3	रहा	0.05442	123.30855296529046
121	4	है	0.05996	244.57055928758774
121	5	।	0.34986	280.16209745749734
128	1	हील	-0.00000	101.0
128	2	आ	0.06369	224.30855296529046
128	3	नवम्बर	0.51613	123.30855296529046
128	4	26	0.43335	271.1980044095982
128	5	को	0.58405	215.17868526501138
128	6	आएगा	0.09146	353.44795175125455
128	7	।	0.50077	247.0792286829253
135	1	[incomprehensible]	0.00000	101.0
135	2	ह्म	0.07977	224.30855296529046
135	3	।	0.14156	197.78527964379387
142	1	नहीं	-0.00000	101.0
142	2	नहीं	0.55984	145.61710593058083
142	3	वो	0.08983	372.1980044095982
142	4	नहीं	0.49411	167.92565889587127
142	5	।	0.27476	202.2274140710132
149	1	अम	-0.00000	101.0
149	2	कॉन्फ़्रेन्स	0.64879	224.30855296529046
149	3	के	0.04823	123.30855296529046
149	4	लिए	0.12265	244.57055928758774
149	5	नहीं	0.27506	218.64204918486348
149	6	।	0.27235	232.90857074504106
156	1	जॉब	-0.00000	101.0
156	2	वॉब	0.07281	224.30855296529046
156	3	।	0.10034	197.78527964379387
163	1	नहीं	-0.00000	101.0
163	2	।	0.42434	123.30855296529043
170	1	जॉब	-0.00000	101.0
170	2	के	0.05471	123.30855296529043
